2019/05/22 08:55:29 [error] 6#6: *69 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 172.18.0.1, server: 127.0.0.1, request: "POST //api/v3/branch_school/pic_media/all_list HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "127.0.0.1"
2019/06/17 02:10:32 [alert] 6#6: *64 write() to "/weblogs/nginx/local_access.log" failed (22: Invalid argument) while logging request, client: 172.18.0.1, server: 127.0.0.1, request: "POST /workbench/v1/user/info HTTP/1.1", upstream: "fastcgi://172.18.0.5:9000", host: "127.0.0.1"
2019/06/17 02:10:39 [alert] 6#6: *67 write() to "/weblogs/nginx/local_access.log" failed (22: Invalid argument) while logging request, client: 172.18.0.1, server: 172.18.0.1, request: "POST /oauth/token HTTP/1.1", upstream: "fastcgi://172.18.0.5:9000", host: "172.18.0.1"
2019/06/17 02:44:26 [alert] 6#6: *70 write() to "/weblogs/nginx/local_access.log" failed (22: Invalid argument) while logging request, client: 172.18.0.1, server: 127.0.0.1, request: "POST /api/v3/agreement/list HTTP/1.1", upstream: "fastcgi://172.18.0.5:9000", host: "127.0.0.1"
2019/06/17 02:46:21 [alert] 6#6: *70 write() to "/weblogs/nginx/local_access.log" failed (22: Invalid argument) while logging request, client: 172.18.0.1, server: 127.0.0.1, request: "POST /api/v3/agreement/list HTTP/1.1", upstream: "fastcgi://172.18.0.5:9000", host: "127.0.0.1"
2019/06/17 02:48:40 [alert] 6#6: *75 write() to "/weblogs/nginx/local_access.log" failed (22: Invalid argument) while logging request, client: 172.18.0.1, server: 127.0.0.1, request: "POST /api/v3/agreement/list HTTP/1.1", upstream: "fastcgi://172.18.0.5:9000", host: "127.0.0.1"
2019/06/17 02:53:44 [alert] 6#6: *77 write() to "/weblogs/nginx/local_access.log" failed (22: Invalid argument) while logging request, client: 172.18.0.1, server: 127.0.0.1, request: "POST /api/v3/manager/agreement/list HTTP/1.1", upstream: "fastcgi://172.18.0.5:9000", host: "127.0.0.1"
2019/06/17 03:06:24 [alert] 6#6: *79 write() to "/weblogs/nginx/local_access.log" failed (22: Invalid argument) while logging request, client: 172.18.0.1, server: 127.0.0.1, request: "POST /api/v3/manager/agreement/add HTTP/1.1", upstream: "fastcgi://172.18.0.5:9000", host: "127.0.0.1"
2019/06/17 03:08:30 [alert] 6#6: *81 write() to "/weblogs/nginx/local_access.log" failed (22: Invalid argument) while logging request, client: 172.18.0.1, server: 127.0.0.1, request: "POST /api/v3/manager/agreement/add HTTP/1.1", upstream: "fastcgi://172.18.0.5:9000", host: "127.0.0.1"
2019/06/17 03:10:11 [alert] 6#6: *84 write() to "/weblogs/nginx/local_access.log" failed (22: Invalid argument) while logging request, client: 172.18.0.1, server: 127.0.0.1, request: "POST /api/v3/manager/agreement/update HTTP/1.1", upstream: "fastcgi://172.18.0.5:9000", host: "127.0.0.1"
2019/06/17 03:12:24 [alert] 6#6: *86 write() to "/weblogs/nginx/local_access.log" failed (22: Invalid argument) while logging request, client: 172.18.0.1, server: 127.0.0.1, request: "POST /api/v3/manager/agreement/update HTTP/1.1", upstream: "fastcgi://172.18.0.5:9000", host: "127.0.0.1"
